Year,Conf,Tm,W,L,T,Position,Reason
2020,NFC,Green Bay Packers,13,3,0,North Champion,
2020,NFC,New Orleans Saints,12,4,0,South Champion,conference win percentage
2020,NFC,Seattle Seahawks,12,4,0,West Champion,
2020,NFC,Washington Football Team,7,9,0,East Champion,
2020,NFC,Tampa Bay Buccaneers,11,5,0,Wild Card #1,
2020,NFC,Los Angeles Rams,10,6,0,Wild Card #2,
2020,NFC,Chicago Bears,8,8,0,Wild Card #3,win percentage in common games
2020,NFC,Arizona Cardinals,8,8,0,,
2020,NFC,Minnesota Vikings,7,9,0,,
2020,NFC,San Francisco 49ers,6,10,0,,head-to-head record
2020,NFC,New York Giants,6,10,0,,division win percentage
2020,NFC,Dallas Cowboys,6,10,0,,
2020,NFC,Carolina Panthers,5,11,0,,head-to-head record
2020,NFC,Detroit Lions,5,11,0,,
2020,NFC,Philadelphia Eagles,4,11,1,,
2020,NFC,Atlanta Falcons,4,12,0,,
2020,AFC,Kansas City Chiefs,14,2,0,West Champion,
2020,AFC,Buffalo Bills,13,3,0,East Champion,
2020,AFC,Pittsburgh Steelers,12,4,0,North Champion,
2020,AFC,Tennessee Titans,11,5,0,South Champion,division win percentage
2020,AFC,Baltimore Ravens,11,5,0,Wild Card #1,head-to-head record
2020,AFC,Cleveland Browns,11,5,0,Wild Card #2,head-to-head record
2020,AFC,Indianapolis Colts,11,5,0,Wild Card #3,
2020,AFC,Miami Dolphins,10,6,0,,
2020,AFC,Las Vegas Raiders,8,8,0,,
2020,AFC,New England Patriots,7,9,0,,head-to-head record
2020,AFC,Los Angeles Chargers,7,9,0,,
2020,AFC,Denver Broncos,5,11,0,,
2020,AFC,Cincinnati Bengals,4,11,1,,
2020,AFC,Houston Texans,4,12,0,,
2020,AFC,New York Jets,2,14,0,,
2020,AFC,Jacksonville Jaguars,1,15,0,,
2019,NFC,Green Bay Packers,13,3,0,North Champion,conference win percentage
2019,NFC,New Orleans Saints,13,3,0,South Champion,
2019,NFC,Seattle Seahawks,11,5,0,Wild Card #1,
2019,NFC,Washington Redskins,3,13,0,,
2019,NFC,Tampa Bay Buccaneers,7,9,0,,
2019,NFC,Los Angeles Rams,9,7,0,,
2019,NFC,Chicago Bears,8,8,0,,head-to-head record
2019,NFC,Arizona Cardinals,5,10,1,,
2019,NFC,Minnesota Vikings,10,6,0,Wild Card #2,
2019,NFC,San Francisco 49ers,13,3,0,West Champion,head-to-head record
2019,NFC,New York Giants,4,12,0,,
2019,NFC,Dallas Cowboys,8,8,0,,
2019,NFC,Carolina Panthers,5,11,0,,
2019,NFC,Detroit Lions,3,12,1,,
2019,NFC,Philadelphia Eagles,9,7,0,East Champion,
2019,NFC,Atlanta Falcons,7,9,0,,division win percentage
2019,AFC,Kansas City Chiefs,12,4,0,West Champion,head-to-head record
2019,AFC,Buffalo Bills,10,6,0,Wild Card #1,
2019,AFC,Pittsburgh Steelers,8,8,0,,
2019,AFC,Tennessee Titans,9,7,0,Wild Card #2,
2019,AFC,Baltimore Ravens,14,2,0,North Champion,
2019,AFC,Cleveland Browns,6,10,0,,
2019,AFC,Indianapolis Colts,7,9,0,,conference win percentage
2019,AFC,Miami Dolphins,5,11,0,,
2019,AFC,Oakland Raiders,7,9,0,,head-to-head record
2019,AFC,New England Patriots,12,4,0,East Champion,
2019,AFC,Los Angeles Chargers,5,11,0,,head-to-head record
2019,AFC,Denver Broncos,7,9,0,,conference win percentage
2019,AFC,Cincinnati Bengals,2,14,0,,
2019,AFC,Houston Texans,10,6,0,South Champion,
2019,AFC,New York Jets,7,9,0,,
2019,AFC,Jacksonville Jaguars,6,10,0,,win percentage in common games
